Region,season,year,Metrics,values
Western North Island,Summer,2002,Maximum_Intensity,1.662112481
Western North Island,Summer,2002,Cumulative_Intensity,4.507871305
Western North Island,Summer,2003,Number_MHW_days,6.476190476
Western North Island,Summer,2003,Nevents,0.714285714
Western North Island,Summer,2003,Mean_Intensity,1.389127077
Western North Island,Summer,2003,Maximum_Intensity,1.729926718
Western North Island,Summer,2003,Cumulative_Intensity,8.999057343
Western North Island,Summer,2004,Number_MHW_days,9.380952381
Western North Island,Summer,2004,Nevents,0.904761905
Western North Island,Summer,2004,Mean_Intensity,1.567294918
Western North Island,Summer,2004,Maximum_Intensity,1.923888222
Western North Island,Summer,2004,Cumulative_Intensity,14.26162885
Western North Island,Summer,2005,Number_MHW_days,3.619047619
Western North Island,Summer,2005,Nevents,0.619047619
Western North Island,Summer,2005,Mean_Intensity,1.489799063
Western North Island,Summer,2005,Maximum_Intensity,1.714972665
Western North Island,Summer,2005,Cumulative_Intensity,5.466204686
Western North Island,Summer,2006,Number_MHW_days,1.19047619
Western North Island,Summer,2006,Nevents,0.19047619
Western North Island,Summer,2006,Mean_Intensity,1.412489429
Western North Island,Summer,2006,Maximum_Intensity,1.543599644
Western North Island,Summer,2006,Cumulative_Intensity,1.680495376
Western North Island,Summer,2007,Number_MHW_days,0
Western North Island,Summer,2007,Nevents,0
Western North Island,Summer,2007,Mean_Intensity,0
Western North Island,Summer,2007,Maximum_Intensity,0
Western North Island,Summer,2007,Cumulative_Intensity,0
Western North Island,Summer,2008,Number_MHW_days,1.80952381
Western North Island,Summer,2008,Nevents,0.238095238
Western North Island,Summer,2008,Mean_Intensity,1.45172017
Western North Island,Summer,2008,Maximum_Intensity,1.624199847
Western North Island,Summer,2008,Cumulative_Intensity,2.657828292
Western North Island,Summer,2009,Number_MHW_days,0
Western North Island,Summer,2009,Nevents,0
Western North Island,Summer,2009,Mean_Intensity,0
Western North Island,Summer,2009,Maximum_Intensity,0
Western North Island,Summer,2009,Cumulative_Intensity,0
Western North Island,Summer,2010,Number_MHW_days,7.619047619
Western North Island,Summer,2010,Nevents,0.571428571
Western North Island,Summer,2010,Mean_Intensity,1.545469235
Western North Island,Summer,2010,Maximum_Intensity,2.136459809
