Scale,Region_Name,Season_Name,Metrics,Sens_Slope,P_Value,Change_Point_Year,Change_Point_pvalue,lm_slope,Sens_Slope_pre,P_Value_pre,Sens_Slope_post,P_Value_post,Trend_Decadal,Trend_Decadal_lm,Trend_Decadal_pre,Trend_Decadal_post
NZ_12NM,None,None,Number_MHW_days,1.58235321969697,8.62272015474338e-5,1997,0.00453911349621097,2.058790494058783,-0.0648148148148148,0.892558465851561,2.71277777777778,0.0207698667681824,15.823532196969701,20.58790494058783,-0.6481481481481479,27.1277777777778
NZ_12NM,None,None,Nevents,0.114553429027113,1.32481793408515e-4,1997,0.00375274595017546,0.11256097560975592,-0.0104848484848485,0.964089361267912,0.133100961538462,0.0497214472902711,1.14553429027113,1.125609756097559,-0.104848484848485,1.3310096153846198
NZ_12NM,None,None,Mean_Intensity,5.00090795963498e-4,0.898021262132282,2014,0.547678833511883,8.233435536772925e-4,-0.00409897902979541,0.13284986695975,-0.00623573928747212,0.71052302291648906,0.005000907959634981,0.008233435536772925,-0.040989790297954104,-0.062357392874721196
NZ_12NM,None,None,Maximum_Intensity,0.00587681628373734,0.151835761826554,2012,0.0999299592124912,0.006083590728297435,-0.00608140427224843,0.307830430133696,0.0478414218211857,0.283130870662347,0.0587681628373734,0.060835907282974354,-0.0608140427224843,0.478414218211857
NZ_12NM,None,None,Cumulative_Intensity,2.14107290670299,3.47736174308326e-4,2012,0.00902572911038771,3.038457441300702,0.358437375199992,0.395424696746904,18.043656712823,0.0490979816092656,21.410729067029898,30.38457441300702,3.5843737519999204,180.43656712823002
Season_12NM,None,Spring,Number_MHW_days,0.130909090909091,0.0260579122316927,1996,0.0617445750420483,0.3394496560350211,-0.0733333333333334,0.0924595951108613,0.233333333333333,0.290057979035239,1.30909090909091,3.394496560350211,-0.7333333333333341,2.33333333333333
Season_12NM,None,Spring,Nevents,0.0127205882352941,0.0359644987041533,1996,0.0662861998080659,0.02576985616010001,-0.01,0.0924595951108613,0.0175,0.389883106831301,0.127205882352941,0.25769856160100013,-0.1,0.17500000000000002
Season_12NM,None,Spring,Mean_Intensity,0.00278305966594277,0.187983838138654,2016,0.45745981505295,0.0025882297026339827,-8.62698188928775e-4,0.842403512475705,0.0392646924239387,0.25965635637045,0.027830596659427703,0.025882297026339828,-0.00862698188928775,0.392646924239387
Season_12NM,None,Spring,Maximum_Intensity,0.0061208676337429,0.212521935405059,1997,0.38706219332008,0.008098233898203355,-0.0199140450557073,0.0791092150986985,0.00889636348531264,0.46906326827448,0.061208676337429,0.08098233898203355,-0.19914045055707302,0.0889636348531264
Season_12NM,None,Spring,Cumulative_Intensity,0.166911048543795,0.0245347936263211,1996,0.0617445750420483,0.4605471974920453,-0.0806386765424941,0.0600382909095791,0.279111215673659,0.20110491981248,1.66911048543795,4.605471974920453,-0.806386765424941,2.79111215673659
Season_12NM,None,Summer,Number_MHW_days,0.21625,0.0530881709554106,2011,0.0762286842354789,0.46754790823212483,-0.0615384615384617,0.617392769071009,1.98041666666667,0.275757847827509,2.1625,4.675479082321249,-0.615384615384617,19.8041666666667
Season_12NM,None,Summer,Nevents,0.0161324786324786,0.0502879279906111,2008,0.0966666356258652,0.02594534412955476,-0.0079365079365079309,0.707478727606978,0.0742424242424243,0.443421402864083,0.161324786324786,0.2594534412955476,-0.0793650793650793,0.7424242424242431
Season_12NM,None,Summer,Mean_Intensity,0.00320471013983914,0.243945110149527,2009,0.0999299592124912,0.005039915472288297,-0.00521517893524609,0.109536907638659,0.00799645201478209,0.502158251500749,0.032047101398391405,0.05039915472288297,-0.0521517893524609,0.0799645201478209
Season_12NM,None,Summer,Maximum_Intensity,0.0094541829433077,0.0530881709554106,2008,0.0327915464577378,0.013831144208620302,-0.0108085640550951,0.196181132738573,0.0283947043017759,0.125311111389424,0.094541829433077,0.13831144208620302,-0.108085640550951,0.28394704301775897
Season_12NM,None,Summer,Cumulative_Intensity,0.349325146956412,0.0622806998790071,2011,0.0711098333452607,0.9309659898228391,-0.115090465611267,0.592490180854787,3.91396781957923,0.533416513472694,3.49325146956412,9.309659898228391,-1.15090465611267,39.1396781957923
Season_12NM,None,Autumn,Number_MHW_days,0.425074074074074,0.00254425676141078,1995,0.0239046545554367,0.7693198056069441,-0.02,0.912814027184075,0.436363636363636,0.196181132738573,4.25074074074074,7.693198056069441,-0.2,4.36363636363636
Season_12NM,None,Autumn,Nevents,0.0262433862433862,0.00497478514954866,1995,0.0340850808429161,0.029307510970877484,0.004,0.912814027184075,0.0187878787878788,0.306913144644128,0.262433862433862,0.2930751097087748,0.04,0.187878787878788
Season_12NM,None,Autumn,Mean_Intensity,-0.00183129062628952,0.552322552702899,1997,0.71567026182873,4.4689524849249193e-4,0.00537889742674692,0.300427116749241,0.00237122452034557,0.69134204811853,-0.0183129062628952,0.00446895248492492,0.053788974267469196,0.0237122452034557
Season_12NM,None,Autumn,Maximum_Intensity,-3.60464607804375e-4,0.916476148645103,2010,0.674671314147312,0.004095183097739885,-0.0112196157169633,0.0340346452378245,0.00695855281650972,0.837011475105446,-0.00360464607804375,0.04095183097739885,-0.11219615716963299,0.0695855281650972
Season_12NM,None,Autumn,Cumulative_Intensity,0.521603047058832,0.00463178046810084,1995,0.0412462828555446,1.112459547253307,-0.0155091852699562,1,0.550383984366215,0.226616447800815,5.21603047058832,11.12459547253307,-0.155091852699562,5.503839843662151
