Scale,Region_Name,Season_Name,Metrics,P_Value_ModifMK,Sens_Slope,P_Value,Change_Point_Year,Change_Point_pvalue,lm_slope,Sens_Slope_pre,P_Value_pre,Sens_Slope_post,P_Value_post,Trend_Decadal,Trend_Decadal_lm,Trend_Decadal_pre,Trend_Decadal_post
NZ_12NM,None,None,Number_MHW_days,2.916393856556385e-7,1.58235321969697,8.62272015474338e-5,1997,0.00453911349621097,2.058790494058783,-0.0648148148148148,0.892558465851561,2.71277777777778,0.0207698667681824,15.8235321969697,20.58790494058783,-0.6481481481481479,27.1277777777778
NZ_12NM,None,None,Nevents,2.6712611765065816e-13,0.114553429027113,1.32481793408515e-4,1997,0.00375274595017546,0.11256097560975592,-0.0104848484848485,0.964089361267912,0.133100961538462,0.0497214472902711,1.14553429027113,1.125609756097559,-0.104848484848485,1.3310096153846198
NZ_12NM,None,None,Mean_Intensity,0.8187547210138344,5.00090795963498e-4,0.898021262132282,2014,0.547678833511883,8.233435536772925e-4,-0.00409897902979541,0.13284986695975,-0.00623573928747212,0.71052302291648906,0.00500090795963498,0.00823343553677292,-0.0409897902979541,-0.06235739287472119
NZ_12NM,None,None,Maximum_Intensity,0.02717447496095566,0.00587681628373734,0.151835761826554,2012,0.0999299592124912,0.00608359072829743,-0.00608140427224843,0.307830430133696,0.0478414218211857,0.283130870662347,0.0587681628373734,0.06083590728297435,-0.0608140427224843,0.478414218211857
NZ_12NM,None,None,Cumulative_Intensity,2.78448543344126e-5,2.14107290670299,3.47736174308326e-4,2012,0.00902572911038771,3.038457441300702,0.358437375199992,0.395424696746904,18.043656712823,0.0490979816092656,21.410729067029894,30.38457441300702,3.5843737519999204,180.43656712823
Season_12NM,None,Autumn,Number_MHW_days,2.953606424431573e-7,0.566845238095238,4.53976428173682e-5,1997,0.00254268226252346,0.7676585365853639,0.0336666666666667,0.78684538320082,1.00920634920635,0.0298547537098258,5.66845238095238,7.676585365853638,0.336666666666667,10.0920634920635
Season_12NM,None,Spring,Number_MHW_days,0.00127001283799807,0.130909090909091,0.0260579122316927,1996,0.0617445750420483,0.3394496560350211,-0.0733333333333334,0.0924595951108613,0.233333333333333,0.290057979035239,1.30909090909091,3.394496560350211,-0.7333333333333341,2.33333333333333
Season_12NM,None,Summer,Number_MHW_days,0.00152478786425062,0.279708994708995,0.00498658125974084,2012,0.0195029764754562,0.4722532833020628,0.00458333333333334,1,2.53333333333333,0.0318231273864902,2.79708994708995,4.722532833020628,0.0458333333333334,25.3333333333333
Season_12NM,None,Winter,Number_MHW_days,4.24788896180971e-10,0.359832775919732,1.67354012222296e-4,1996,2.56743740876616e-4,0.4794290181363341,-0.0711111111111111,0.164818589811777,0.466166666666667,0.158345112567122,3.59832775919732,4.7942901813633405,-0.711111111111111,4.66166666666667
Season_12NM,None,Autumn,Nevents,3.4650253916049725e-24,0.0313076923076923,8.18724827885814e-5,1997,0.00324749576947326,0.03108317698561596,0.00844444444444445,0.588632615921412,0.0338816738816739,0.0554122185693679,0.31307692307692303,0.3108317698561596,0.0844444444444445,0.338816738816739
Season_12NM,None,Spring,Nevents,0.00135071384701954,0.0127205882352941,0.0359644987041533,1996,0.0662861998080659,0.02576985616010001,-0.01,0.0924595951108613,0.0175,0.389883106831301,0.127205882352941,0.25769856160100013,-0.1,0.17500000000000002
Season_12NM,None,Summer,Nevents,3.298304817582946e-5,0.0231481481481481,0.00463735110046976,2009,0.0258987613300933,0.02744183864915569,0.00305555555555555,0.890006773986168,0.106984126984127,0.0995087321591697,0.23148148148148096,0.2744183864915569,0.0305555555555555,1.06984126984127
Season_12NM,None,Winter,Nevents,6.471895911549199e-14,0.0260706605222734,3.62550522335479e-4,1996,3.81606298843534e-4,0.02826610381488424,-0.01,0.18096405558227,0.0216666666666667,0.242610756128239,0.26070660522273403,0.28266103814884247,-0.1,0.21666666666666695
Season_12NM,None,Autumn,Mean_Intensity,0.8459669026335338,6.92958670120508e-4,0.888800705443347,2014,0.816045026285158,0.00752343545442815,-0.00418115748406176,0.20383739506789,7.27523463213343e-4,1,0.00692958670120508,0.07523435454428157,-0.0418115748406176,0.00727523463213343
Season_12NM,None,Spring,Mean_Intensity,0.00212156790709717,0.00278305966594277,0.187983838138654,2016,0.45745981505295,0.00258822970263398,-8.62698188928775e-4,0.842403512475705,0.0392646924239387,0.25965635637045,0.0278305966594277,0.02588229702633982,-0.00862698188928775,0.392646924239387
Season_12NM,None,Summer,Mean_Intensity,0.02630760135065387,0.00441744866630941,0.132843309662691,2010,0.113914155462143,0.01060070070064903,-0.0035004181254969,0.320136568444488,0.0217881469832852,0.303673214899419,0.04417448666309409,0.10600700700649032,-0.035004181254969,0.217881469832852
Season_12NM,None,Winter,Mean_Intensity,0.04181315305115351,0.00307983148946393,0.138958294570753,1996,0.121490416894221,0.00631913444217022,0.0101757989970818,0.428480419497997,-0.00223506961412957,0.402267231264431,0.0307983148946393,0.06319134442170228,0.101757989970818,-0.02235069614129569
Season_12NM,None,Autumn,Maximum_Intensity,0.3713231460952382,0.00280399280056274,0.499163903982076,2012,0.396630897133871,0.01283361940132945,-0.00698459152349753,0.21463615760725,0.0370036455199976,0.474274350767329,0.0280399280056274,0.12833619401329452,-0.0698459152349753,0.370036455199976
Season_12NM,None,Spring,Maximum_Intensity,0.00888634691481966,0.0061208676337429,0.212521935405059,1997,0.38706219332008,0.00809823389820335,-0.0199140450557073,0.0791092150986985,0.00889636348531264,0.46906326827448,0.061208676337429,0.08098233898203355,-0.19914045055707305,0.0889636348531264
