ECOREGION,season,year,Metrics,values
Kermadec Island,Summer,2001,Nevents,0
Kermadec Island,Summer,2001,Mean_Intensity,0
Kermadec Island,Summer,2001,Maximum_Intensity,0
Kermadec Island,Summer,2001,Cumulative_Intensity,0
Kermadec Island,Summer,2002,Number_MHW_days,0.9166666666666666
Kermadec Island,Summer,2002,Nevents,0.16666666666666666
Kermadec Island,Summer,2002,Mean_Intensity,1.350096463216146
Kermadec Island,Summer,2002,Maximum_Intensity,1.6692995422363293
Kermadec Island,Summer,2002,Cumulative_Intensity,1.24480814259847
Kermadec Island,Summer,2003,Number_MHW_days,0.5
Kermadec Island,Summer,2003,Nevents,0.08333333333333333
Kermadec Island,Summer,2003,Mean_Intensity,1.2329161326090496
Kermadec Island,Summer,2003,Maximum_Intensity,1.4126003051757827
Kermadec Island,Summer,2003,Cumulative_Intensity,0.6164580663045248
Kermadec Island,Summer,2004,Number_MHW_days,14.75
Kermadec Island,Summer,2004,Nevents,1.75
Kermadec Island,Summer,2004,Mean_Intensity,1.3928534454033985
Kermadec Island,Summer,2004,Maximum_Intensity,1.6613750953674318
Kermadec Island,Summer,2004,Cumulative_Intensity,20.24107566757202
Kermadec Island,Summer,2005,Number_MHW_days,1.5833333333333333
Kermadec Island,Summer,2005,Nevents,0.25
Kermadec Island,Summer,2005,Mean_Intensity,1.2944703410412015
Kermadec Island,Summer,2005,Maximum_Intensity,1.4742002034505208
Kermadec Island,Summer,2005,Cumulative_Intensity,2.046166425069173
Kermadec Island,Summer,2006,Number_MHW_days,13
Kermadec Island,Summer,2006,Nevents,1.5
Kermadec Island,Summer,2006,Mean_Intensity,1.40462571576754
Kermadec Island,Summer,2006,Maximum_Intensity,1.7328000693581316
Kermadec Island,Summer,2006,Cumulative_Intensity,18.58096607538859
Kermadec Island,Summer,2007,Number_MHW_days,0
Kermadec Island,Summer,2007,Nevents,0
Kermadec Island,Summer,2007,Mean_Intensity,0
Kermadec Island,Summer,2007,Maximum_Intensity,0
Kermadec Island,Summer,2007,Cumulative_Intensity,0
Kermadec Island,Summer,2008,Number_MHW_days,12.166666666666666
Kermadec Island,Summer,2008,Nevents,1.9166666666666667
Kermadec Island,Summer,2008,Mean_Intensity,1.5818093352626925
Kermadec Island,Summer,2008,Maximum_Intensity,2.063108339691162
Kermadec Island,Summer,2008,Cumulative_Intensity,18.91205809809367
Kermadec Island,Summer,2009,Number_MHW_days,14
Kermadec Island,Summer,2009,Nevents,2.1666666666666665
Kermadec Island,Summer,2009,Mean_Intensity,1.5466409633967446
Kermadec Island,Summer,2009,Maximum_Intensity,2.0047336321512863
Kermadec Island,Summer,2009,Cumulative_Intensity,21.659617029062904
Kermadec Island,Summer,2010,Number_MHW_days,2
Kermadec Island,Summer,2010,Nevents,0.25
Kermadec Island,Summer,2010,Mean_Intensity,1.7276722603691943
Kermadec Island,Summer,2010,Maximum_Intensity,2.052149389648438
Kermadec Island,Summer,2010,Cumulative_Intensity,3.4303750826517727
Kermadec Island,Summer,2011,Number_MHW_days,32.75
Kermadec Island,Summer,2011,Nevents,1.5833333333333333
Kermadec Island,Summer,2011,Mean_Intensity,1.7532462908832231
Kermadec Island,Summer,2011,Maximum_Intensity,2.566791717529297
Kermadec Island,Summer,2011,Cumulative_Intensity,57.975607023620604
Kermadec Island,Summer,2012,Number_MHW_days,0
Kermadec Island,Summer,2012,Nevents,0
Kermadec Island,Summer,2012,Mean_Intensity,0
Kermadec Island,Summer,2012,Maximum_Intensity,0
Kermadec Island,Summer,2012,Cumulative_Intensity,0
Kermadec Island,Summer,2013,Number_MHW_days,14.666666666666666
Kermadec Island,Summer,2013,Nevents,1
Kermadec Island,Summer,2013,Mean_Intensity,1.6341052589355447
Kermadec Island,Summer,2013,Maximum_Intensity,1.9947253369649252
Kermadec Island,Summer,2013,Cumulative_Intensity,24.22035849227905
Kermadec Island,Summer,2014,Number_MHW_days,35.5
Kermadec Island,Summer,2014,Nevents,3.1666666666666665
Kermadec Island,Summer,2014,Mean_Intensity,1.6339778459780618
Kermadec Island,Summer,2014,Maximum_Intensity,2.4206334287007647
