Scale,Region_Name,Season_Name,Metrics,Trend_Decadal,P_Value,Change_Point_Year,Change_Point_pvalue,Trend_Decadal_pre,P_Value_pre,Trend_Decadal_post,P_Value_post,RatioPostPre
NZ_12NM,None,None,Number_MHW_days,15.823532196969701,8.62272015474338e-5,1997,0.00453911349621097,-0.6481481481481479,0.892558465851561,27.1277777777778,0.0207698667681824,-41.854285714285766
NZ_12NM,None,None,Nevents,1.14553429027113,1.32481793408515e-4,1997,0.00375274595017546,-0.104848484848485,0.964089361267912,1.3310096153846198,0.0497214472902711,-12.694600377945777
NZ_12NM,None,None,Mean_Intensity,0.005000907959634981,0.898021262132282,2014,0.547678833511883,-0.040989790297954104,0.13284986695975,-0.062357392874721196,0.71052302291648906,1.5212908488051864
NZ_12NM,None,None,Maximum_Intensity,0.0587681628373734,0.151835761826554,2012,0.0999299592124912,-0.0608140427224843,0.307830430133696,0.478414218211857,0.283130870662347,-7.8668379340447405
NZ_12NM,None,None,Cumulative_Intensity,21.410729067029898,3.47736174308326e-4,2012,0.00902572911038771,3.5843737519999204,0.395424696746904,180.43656712823002,0.0490979816092656,50.33977470333681
Season_12NM,None,Spring,Number_MHW_days,1.30909090909091,0.0260579122316927,1996,0.0617445750420483,-0.7333333333333341,0.0924595951108613,2.33333333333333,0.290057979035239,-3.181818181818174
Season_12NM,None,Spring,Nevents,0.127205882352941,0.0359644987041533,1996,0.0662861998080659,-0.1,0.0924595951108613,0.17500000000000002,0.389883106831301,-1.75
Season_12NM,None,Spring,Mean_Intensity,0.027830596659427703,0.187983838138654,2016,0.45745981505295,-0.00862698188928775,0.842403512475705,0.392646924239387,0.25965635637045,-45.513822710923094
Season_12NM,None,Spring,Maximum_Intensity,0.061208676337429,0.212521935405059,1997,0.38706219332008,-0.19914045055707302,0.0791092150986985,0.0889636348531264,0.46906326827448,-0.44673814187052724
Season_12NM,None,Spring,Cumulative_Intensity,1.66911048543795,0.0245347936263211,1996,0.0617445750420483,-0.806386765424941,0.0600382909095791,2.79111215673659,0.20110491981248,-3.4612573970826017
Season_12NM,None,Summer,Number_MHW_days,2.1625,0.0530881709554106,2011,0.0762286842354789,-0.615384615384617,0.617392769071009,19.8041666666667,0.275757847827509,-32.1817708333333
Season_12NM,None,Summer,Nevents,0.161324786324786,0.0502879279906111,2008,0.0966666356258652,-0.0793650793650793,0.707478727606978,0.7424242424242431,0.443421402864083,-9.35454545454547
Season_12NM,None,Summer,Mean_Intensity,0.032047101398391405,0.243945110149527,2009,0.0999299592124912,-0.0521517893524609,0.109536907638659,0.0799645201478209,0.502158251500749,-1.533303480871795
Season_12NM,None,Summer,Maximum_Intensity,0.094541829433077,0.0530881709554106,2008,0.0327915464577378,-0.108085640550951,0.196181132738573,0.28394704301775897,0.125311111389424,-2.6270561155985175
Season_12NM,None,Summer,Cumulative_Intensity,3.49325146956412,0.0622806998790071,2011,0.0711098333452607,-1.15090465611267,0.592490180854787,39.1396781957923,0.533416513472694,-34.007750327461224
Season_12NM,None,Autumn,Number_MHW_days,4.25074074074074,0.00254425676141078,1995,0.0239046545554367,-0.2,0.912814027184075,4.36363636363636,0.196181132738573,-21.8181818181818
Season_12NM,None,Autumn,Nevents,0.262433862433862,0.00497478514954866,1995,0.0340850808429161,0.04,0.912814027184075,0.187878787878788,0.306913144644128,4.6969696969697
Season_12NM,None,Autumn,Mean_Intensity,-0.0183129062628952,0.552322552702899,1997,0.71567026182873,0.053788974267469196,0.300427116749241,0.0237122452034557,0.69134204811853,0.44083839720655404
Season_12NM,None,Autumn,Maximum_Intensity,-0.00360464607804375,0.916476148645103,2010,0.674671314147312,-0.11219615716963299,0.0340346452378245,0.0695855281650972,0.837011475105446,-0.620213115319882
Season_12NM,None,Autumn,Cumulative_Intensity,5.21603047058832,0.00463178046810084,1995,0.0412462828555446,-0.155091852699562,1,5.503839843662151,0.226616447800815,-35.487614261233816
Season_12NM,None,Winter,Number_MHW_days,3.17888888888889,0.00193647145868667,1995,7.77913282277222e-4,-1.12083333333333,0.0210990415381401,2.7515151515151497,0.381263721593158,-2.4548834065562746
Season_12NM,None,Winter,Nevents,0.228869047619048,0.00296039465116288,1995,0.00101466752385349,-0.103030303030303,0.0245818322973992,0.12222222222222201,0.465512169874187,-1.1862745098039198
Season_12NM,None,Winter,Mean_Intensity,0.0101119723510939,0.544584531251695,1995,0.341633260984397,0.00584026646903157,0.912814027184075,-0.0371758078145444,0.182137586444928,-6.365430072698186
Season_12NM,None,Winter,Maximum_Intensity,0.046513467994273694,0.129838942746461,1995,0.0428263025563973,-0.0603221439123151,0.661415917007863,-0.0434038723671075,0.428254225241036,0.7195346443621072
Season_12NM,None,Winter,Cumulative_Intensity,3.4031484280053697,0.00165524042204664,1995,6.26883925725817e-4,-0.936138102776664,0.0214887391196774,2.45062327881495,0.381263721593158,-2.6178010184033704
Region_12NM,Kermadec Island,None,Number_MHW_days,14.4618055555556,5.75787117778492e-5,2002,0.00241992809131807,0.68609022556391,0.48521990964968,46.2178308823529,0.02517833280286,67.3640713134568
Region_12NM,Kermadec Island,None,Nevents,1.2012987012987,5.71786170936915e-5,2002,0.00219070986433788,0.128968253968254,0.395298713235406,2.04166666666667,0.0475702059373576,15.830769230769253
Region_12NM,Kermadec Island,None,Mean_Intensity,0.0601662909543019,0.086581918198186,1996,0.359324410289407,-0.013062421406445899,0.764081750825189,0.0324086539676742,0.427488999599048,-2.481060207694841
